id_desk,kode_satker,id_pengguna,link,keterangan,pjk,target_bulan,progress,created_at,updated_at,status
118,1100,1,https://drive.google.com/drive/folders/1pcvz2wjH8oF_p9mFxvRhUnUdtaNNWdiU?usp=drive_link,,,,,,,
119,1100,1,,,,,,,,
120,1100,1,,,,,,,,
121,1100,1,,,,,,,,
122,1100,1,https://drive.google.com/drive/folders/1YYQVJj0W7A6J1h6APbOb4rM2WdnYIARC?usp=drive_link,Tidak ada target,,,,,,
123,1100,1,,,,,,,,
124,1100,1,,,,,,,,
125,1100,1,https://drive.google.com/drive/folders/1NDhYa620tnq1g5Wtxr_nRy3P-nzt_UN8?usp=drive_link,Tidak ada target,,,,,,
126,1100,1,https://drive.google.com/drive/folders/1eiGH99bKXE8SwDg-uKhRYeq4tsClN19A?usp=drive_link,Sesuai,,,,,,
127,1100,1,https://drive.google.com/drive/folders/1baT_wa0E8upOxAk8jnoF4ZUgRXk60JjB?usp=drive_link,,,,,,,
128,1100,1,https://drive.google.com/drive/folders/1SGAHtadFr_TRegN6Aqq7IVq9zyMl_DpA?usp=drive_link,,,,,,,
129,1100,1,,,,,,,,
130,1100,1,,,,,,,,
131,1100,1,,,,,,,,
132,1100,1,https://drive.google.com/drive/folders/1t4XFLHT_r-dmRQJP-hP7AGaZsE-fN2uG?usp=drive_link,,,,,,,
133,1100,1,,,,,,,,
134,1100,1,,,,,,,,
135,1100,1,,,,,,,,
136,1100,1,,,,,,,,
137,1100,1,,,,,,,,
138,1100,1,,,,,,,,
139,1100,1,https://drive.google.com/drive/folders/1BPnWMRhZ4rYVWLkARMeff_93jkDKQ3_P?usp=drive_link,,,,,,,
140,1100,1,,,,,,,,
141,1100,1,,,,,,,,
142,1100,1,,,,,,,,
143,1100,1,,,,,,,,
144,1100,1,,,,,,,,
145,1100,1,,,,,,,,
146,1100,1,https://drive.google.com/drive/folders/1fnfQZoO2wk5V6phtPo_1c9IB4IhyJD4z?usp=drive_link,Bukti dukung belum diupload,,,,,,
147,1100,1,https://drive.google.com/drive/folders/1dld4wv4kGoSVpbekrB544OkQj7bB5Uy2?usp=drive_link,Bukti dukung belum diupload,,,,,,
148,1100,1,,,,,,,,
149,1100,1,,,,,,,,
150,1100,1,https://drive.google.com/drive/folders/1ZlRZ_-oE4UrIvI70qebf9QvRRUtI5zyz?usp=drive_link,Bukti dukung belum diupload,,,,,,
